101
81
T [GeV]		muB [GeV]		c1_T3 [fm^3/GeV^2 * GeV^3]
0.183000		-0.700000		-0.005480
0.184000		-0.700000		-0.005361
0.185000		-0.700000		-0.005245
0.186000		-0.700000		-0.005134
0.187000		-0.700000		-0.005025
0.188000		-0.700000		-0.004920
0.189000		-0.700000		-0.004818
0.190000		-0.700000		-0.004719
0.191000		-0.700000		-0.004623
0.192000		-0.700000		-0.004530
0.193000		-0.700000		-0.004440
0.194000		-0.700000		-0.004352
0.195000		-0.700000		-0.004266
0.196000		-0.700000		-0.004183
0.197000		-0.700000		-0.004102
0.198000		-0.700000		-0.004024
0.199000		-0.700000		-0.003948
0.200000		-0.700000		-0.003873
0.100000		-0.680000		-0.150457
0.101000		-0.680000		-0.141526
0.102000		-0.680000		-0.133221
0.103000		-0.680000		-0.125493
0.104000		-0.680000		-0.118297
0.105000		-0.680000		-0.111592
0.106000		-0.680000		-0.105339
0.107000		-0.680000		-0.099504
0.108000		-0.680000		-0.094056
0.109000		-0.680000		-0.088966
0.110000		-0.680000		-0.084206
0.111000		-0.680000		-0.079754
0.112000		-0.680000		-0.075586
0.113000		-0.680000		-0.071682
0.114000		-0.680000		-0.068023
0.115000		-0.680000		-0.064591
0.116000		-0.680000		-0.061371
0.117000		-0.680000		-0.058347
0.118000		-0.680000		-0.055507
0.119000		-0.680000		-0.052836
0.120000		-0.680000		-0.050325
0.121000		-0.680000		-0.047962
0.122000		-0.680000		-0.045736
0.123000		-0.680000		-0.043640
0.124000		-0.680000		-0.041663
0.125000		-0.680000		-0.039799
0.126000		-0.680000		-0.038040
0.127000		-0.680000		-0.036380
0.128000		-0.680000		-0.034811
0.129000		-0.680000		-0.033328
0.130000		-0.680000		-0.031925
0.131000		-0.680000		-0.030598
0.132000		-0.680000		-0.029342
0.133000		-0.680000		-0.028153
0.134000		-0.680000		-0.027025
0.135000		-0.680000		-0.025956
0.136000		-0.680000		-0.024943
0.137000		-0.680000		-0.023980
0.138000		-0.680000		-0.023067
0.139000		-0.680000		-0.022199
0.140000		-0.680000		-0.021373
0.141000		-0.680000		-0.020589
0.142000		-0.680000		-0.019843
0.143000		-0.680000		-0.019132
0.144000		-0.680000		-0.018455
0.145000		-0.680000		-0.017811
0.146000		-0.680000		-0.017196
0.147000		-0.680000		-0.016610
0.148000		-0.680000		-0.016051
0.149000		-0.680000		-0.015518
0.150000		-0.680000		-0.015008
0.151000		-0.680000		-0.014521
0.152000		-0.680000		-0.014056
0.153000		-0.680000		-0.013611
0.154000		-0.680000		-0.013185
0.155000		-0.680000		-0.012777
0.156000		-0.680000		-0.012387
0.157000		-0.680000		-0.012013
0.158000		-0.680000		-0.011655
0.159000		-0.680000		-0.011312
0.160000		-0.680000		-0.010982
0.161000		-0.680000		-0.010666
0.162000		-0.680000		-0.010363
0.163000		-0.680000		-0.010071
0.164000		-0.680000		-0.009791
0.165000		-0.680000		-0.009522
0.166000		-0.680000		-0.009263
0.167000		-0.680000		-0.009014
0.168000		-0.680000		-0.008775
0.169000		-0.680000		-0.008544
0.170000		-0.680000		-0.008322
0.171000		-0.680000		-0.008108
0.172000		-0.680000		-0.007902
0.173000		-0.680000		-0.007703
0.174000		-0.680000		-0.007511
0.175000		-0.680000		-0.007326
0.176000		-0.680000		-0.007147
0.177000		-0.680000		-0.006975
0.178000		-0.680000		-0.006808
0.179000		-0.680000		-0.006647
0.180000		-0.680000		-0.006492
0.181000		-0.680000		-0.006341
0.182000		-0.680000		-0.006196
0.183000		-0.680000		-0.006055
0.184000		-0.680000		-0.005919
0.185000		-0.680000		-0.005787
0.186000		-0.680000		-0.005659
0.187000		-0.680000		-0.005535
0.188000		-0.680000		-0.005415
0.189000		-0.680000		-0.005299
0.190000		-0.680000		-0.005186
0.191000		-0.680000		-0.005077
0.192000		-0.680000		-0.004970
0.193000		-0.680000		-0.004867
0.194000		-0.680000		-0.004767
0.195000		-0.680000		-0.004670
0.196000		-0.680000		-0.004575
0.197000		-0.680000		-0.004484
0.198000		-0.680000		-0.004395
0.199000		-0.680000		-0.004308
0.200000		-0.680000		-0.004223
0.100000		-0.660000		-0.181367
0.101000		-0.660000		-0.170297
0.102000		-0.660000		-0.160024
0.103000		-0.660000		-0.150484
0.104000		-0.660000		-0.141617
0.105000		-0.660000		-0.133369
0.106000		-0.660000		-0.125692
0.107000		-0.660000		-0.118542
0.108000		-0.660000		-0.111876
0.109000		-0.660000		-0.105659
0.110000		-0.660000		-0.099857
0.111000		-0.660000		-0.094437
0.112000		-0.660000		-0.089371
0.113000		-0.660000		-0.084634
0.114000		-0.660000		-0.080201
0.115000		-0.660000		-0.076050
0.116000		-0.660000		-0.072160
0.117000		-0.660000		-0.068513
0.118000		-0.660000		-0.065092
0.119000		-0.660000		-0.061880
0.120000		-0.660000		-0.058864
0.121000		-0.660000		-0.056029
0.122000		-0.660000		-0.053363
0.123000		-0.660000		-0.050854
0.124000		-0.660000		-0.048493
0.125000		-0.660000		-0.046268
0.126000		-0.660000		-0.044171
0.127000		-0.660000		-0.042194
0.128000		-0.660000		-0.040328
0.129000		-0.660000		-0.038567
0.130000		-0.660000		-0.036903
0.131000		-0.660000		-0.035331
0.132000		-0.660000		-0.033844
0.133000		-0.660000		-0.032437
0.134000		-0.660000		-0.031105
0.135000		-0.660000		-0.029843
0.136000		-0.660000		-0.028648
0.137000		-0.660000		-0.027514
0.138000		-0.660000		-0.026439
0.139000		-0.660000		-0.025419
0.140000		-0.660000		-0.024450
0.141000		-0.660000		-0.023529
0.142000		-0.660000		-0.022654
0.143000		-0.660000		-0.021822
0.144000		-0.660000		-0.021030
0.145000		-0.660000		-0.020276
0.146000		-0.660000		-0.019558
0.147000		-0.660000		-0.018874
0.148000		-0.660000		-0.018222
0.149000		-0.660000		-0.017600
0.150000		-0.660000		-0.017006
0.151000		-0.660000		-0.016439
0.152000		-0.660000		-0.015898
0.153000		-0.660000		-0.015381
0.154000		-0.660000		-0.014886
0.155000		-0.660000		-0.014413
0.156000		-0.660000		-0.013961
0.157000		-0.660000		-0.013528
0.158000		-0.660000		-0.013113
0.159000		-0.660000		-0.012715
0.160000		-0.660000		-0.012334
0.161000		-0.660000		-0.011969
0.162000		-0.660000		-0.011618
0.163000		-0.660000		-0.011282
0.164000		-0.660000		-0.010959
0.165000		-0.660000		-0.010648
0.166000		-0.660000		-0.010350
0.167000		-0.660000		-0.010063
0.168000		-0.660000		-0.009788
0.169000		-0.660000		-0.009522
0.170000		-0.660000		-0.009267
0.171000		-0.660000		-0.009021
0.172000		-0.660000		-0.008784
0.173000		-0.660000		-0.008556
0.174000		-0.660000		-0.008336
0.175000		-0.660000		-0.008124
0.176000		-0.660000		-0.007920
0.177000		-0.660000		-0.007722
0.178000		-0.660000		-0.007531
0.179000		-0.660000		-0.007347
0.180000		-0.660000		-0.007169
0.181000		-0.660000		-0.006997
0.182000		-0.660000		-0.006831
0.183000		-0.660000		-0.006671
0.184000		-0.660000		-0.006515
0.185000		-0.660000		-0.006365
0.186000		-0.660000		-0.006219
0.187000		-0.660000		-0.006078
0.188000		-0.660000		-0.005941
0.189000		-0.660000		-0.005809
0.190000		-0.660000		-0.005681
0.191000		-0.660000		-0.005556
0.192000		-0.660000		-0.005436
0.193000		-0.660000		-0.005319
0.194000		-0.660000		-0.005205
0.195000		-0.660000		-0.005095
0.196000		-0.660000		-0.004988
0.197000		-0.660000		-0.004884
0.198000		-0.660000		-0.004783
0.199000		-0.660000		-0.004685
0.200000		-0.660000		-0.004590
0.100000		-0.640000		-0.218149
0.101000		-0.640000		-0.204471
0.102000		-0.640000		-0.191803
0.103000		-0.640000		-0.180061
