101
81
T [GeV]		muB [GeV]		betaV_over_T3 [fm^-3 / GeV^3]
0.122000		-0.660000		2.829413
0.123000		-0.660000		2.918987
0.124000		-0.660000		3.010774
0.125000		-0.660000		3.104803
0.126000		-0.660000		3.201108
0.127000		-0.660000		3.299719
0.128000		-0.660000		3.400667
0.129000		-0.660000		3.503983
0.130000		-0.660000		3.609697
0.131000		-0.660000		3.717840
0.132000		-0.660000		3.828442
0.133000		-0.660000		3.941534
0.134000		-0.660000		4.057145
0.135000		-0.660000		4.175304
0.136000		-0.660000		4.296043
0.137000		-0.660000		4.419389
0.138000		-0.660000		4.545373
0.139000		-0.660000		4.674023
0.140000		-0.660000		4.805370
0.141000		-0.660000		4.939441
0.142000		-0.660000		5.076267
0.143000		-0.660000		5.215875
0.144000		-0.660000		5.358295
0.145000		-0.660000		5.503555
0.146000		-0.660000		5.651685
0.147000		-0.660000		5.802712
0.148000		-0.660000		5.956666
0.149000		-0.660000		6.113575
0.150000		-0.660000		6.273469
0.151000		-0.660000		6.436375
0.152000		-0.660000		6.602322
0.153000		-0.660000		6.771340
0.154000		-0.660000		6.943457
0.155000		-0.660000		7.118701
0.156000		-0.660000		7.297102
0.157000		-0.660000		7.478690
0.158000		-0.660000		7.663492
0.159000		-0.660000		7.851539
0.160000		-0.660000		8.042859
0.161000		-0.660000		8.237482
0.162000		-0.660000		8.435437
0.163000		-0.660000		8.636755
0.164000		-0.660000		8.841465
0.165000		-0.660000		9.049597
0.166000		-0.660000		9.261181
0.167000		-0.660000		9.476247
0.168000		-0.660000		9.694827
0.169000		-0.660000		9.916950
0.170000		-0.660000		10.142648
0.171000		-0.660000		10.371951
0.172000		-0.660000		10.604891
0.173000		-0.660000		10.841499
0.174000		-0.660000		11.081807
0.175000		-0.660000		11.325846
0.176000		-0.660000		11.573648
0.177000		-0.660000		11.825247
0.178000		-0.660000		12.080673
0.179000		-0.660000		12.339960
0.180000		-0.660000		12.603141
0.181000		-0.660000		12.870249
0.182000		-0.660000		13.141316
0.183000		-0.660000		13.416378
0.184000		-0.660000		13.695466
0.185000		-0.660000		13.978615
0.186000		-0.660000		14.265860
0.187000		-0.660000		14.557235
0.188000		-0.660000		14.852774
0.189000		-0.660000		15.152512
0.190000		-0.660000		15.456484
0.191000		-0.660000		15.764725
0.192000		-0.660000		16.077272
0.193000		-0.660000		16.394159
0.194000		-0.660000		16.715422
0.195000		-0.660000		17.041097
0.196000		-0.660000		17.371222
0.197000		-0.660000		17.705831
0.198000		-0.660000		18.044962
0.199000		-0.660000		18.388652
0.200000		-0.660000		18.736937
0.100000		-0.640000		1.246633
0.101000		-0.640000		1.291505
0.102000		-0.640000		1.337721
0.103000		-0.640000		1.385313
0.104000		-0.640000		1.434313
0.105000		-0.640000		1.484754
0.106000		-0.640000		1.536669
0.107000		-0.640000		1.590090
0.108000		-0.640000		1.645049
0.109000		-0.640000		1.701581
0.110000		-0.640000		1.759716
0.111000		-0.640000		1.819490
0.112000		-0.640000		1.880934
0.113000		-0.640000		1.944081
0.114000		-0.640000		2.008964
0.115000		-0.640000		2.075617
0.116000		-0.640000		2.144072
0.117000		-0.640000		2.214361
0.118000		-0.640000		2.286518
0.119000		-0.640000		2.360575
0.120000		-0.640000		2.436565
0.121000		-0.640000		2.514521
0.122000		-0.640000		2.594474
0.123000		-0.640000		2.676457
0.124000		-0.640000		2.760503
0.125000		-0.640000		2.846644
0.126000		-0.640000		2.934911
0.127000		-0.640000		3.025336
0.128000		-0.640000		3.117953
0.129000		-0.640000		3.212791
0.130000		-0.640000		3.309883
0.131000		-0.640000		3.409261
0.132000		-0.640000		3.510956
0.133000		-0.640000		3.614999
0.134000		-0.640000		3.721422
0.135000		-0.640000		3.830256
0.136000		-0.640000		3.941532
0.137000		-0.640000		4.055282
0.138000		-0.640000		4.171535
0.139000		-0.640000		4.290324
0.140000		-0.640000		4.411679
0.141000		-0.640000		4.535631
0.142000		-0.640000		4.662211
0.143000		-0.640000		4.791450
0.144000		-0.640000		4.923379
0.145000		-0.640000		5.058028
0.146000		-0.640000		5.195429
0.147000		-0.640000		5.335612
0.148000		-0.640000		5.478607
0.149000		-0.640000		5.624447
0.150000		-0.640000		5.773162
0.151000		-0.640000		5.924782
0.152000		-0.640000		6.079340
0.153000		-0.640000		6.236865
0.154000		-0.640000		6.397390
0.155000		-0.640000		6.560945
