101
81
T [GeV]		muB [GeV]		c3_T4 [fm^3/GeV * GeV^4]
0.183000		-0.720000		-0.005977
0.184000		-0.720000		-0.005881
0.185000		-0.720000		-0.005786
0.186000		-0.720000		-0.005694
0.187000		-0.720000		-0.005605
0.188000		-0.720000		-0.005517
0.189000		-0.720000		-0.005431
0.190000		-0.720000		-0.005347
0.191000		-0.720000		-0.005265
0.192000		-0.720000		-0.005185
0.193000		-0.720000		-0.005106
0.194000		-0.720000		-0.005029
0.195000		-0.720000		-0.004954
0.196000		-0.720000		-0.004881
0.197000		-0.720000		-0.004809
0.198000		-0.720000		-0.004738
0.199000		-0.720000		-0.004669
0.200000		-0.720000		-0.004602
0.100000		-0.700000		-0.059201
0.101000		-0.700000		-0.056893
0.102000		-0.700000		-0.054698
0.103000		-0.700000		-0.052610
0.104000		-0.700000		-0.050624
0.105000		-0.700000		-0.048733
0.106000		-0.700000		-0.046932
0.107000		-0.700000		-0.045216
0.108000		-0.700000		-0.043581
0.109000		-0.700000		-0.042022
0.110000		-0.700000		-0.040535
0.111000		-0.700000		-0.039117
0.112000		-0.700000		-0.037763
0.113000		-0.700000		-0.036470
0.114000		-0.700000		-0.035236
0.115000		-0.700000		-0.034056
0.116000		-0.700000		-0.032928
0.117000		-0.700000		-0.031850
0.118000		-0.700000		-0.030819
0.119000		-0.700000		-0.029832
0.120000		-0.700000		-0.028888
0.121000		-0.700000		-0.027984
0.122000		-0.700000		-0.027117
0.123000		-0.700000		-0.026287
0.124000		-0.700000		-0.025491
0.125000		-0.700000		-0.024728
0.126000		-0.700000		-0.023997
0.127000		-0.700000		-0.023294
0.128000		-0.700000		-0.022620
0.129000		-0.700000		-0.021972
0.130000		-0.700000		-0.021351
0.131000		-0.700000		-0.020753
0.132000		-0.700000		-0.020178
0.133000		-0.700000		-0.019626
0.134000		-0.700000		-0.019095
0.135000		-0.700000		-0.018583
0.136000		-0.700000		-0.018091
0.137000		-0.700000		-0.017617
0.138000		-0.700000		-0.017160
0.139000		-0.700000		-0.016720
0.140000		-0.700000		-0.016296
0.141000		-0.700000		-0.015887
0.142000		-0.700000		-0.015493
0.143000		-0.700000		-0.015112
0.144000		-0.700000		-0.014745
0.145000		-0.700000		-0.014390
0.146000		-0.700000		-0.014048
0.147000		-0.700000		-0.013717
0.148000		-0.700000		-0.013397
0.149000		-0.700000		-0.013088
0.150000		-0.700000		-0.012789
0.151000		-0.700000		-0.012500
0.152000		-0.700000		-0.012220
0.153000		-0.700000		-0.011949
0.154000		-0.700000		-0.011687
0.155000		-0.700000		-0.011433
0.156000		-0.700000		-0.011187
0.157000		-0.700000		-0.010949
0.158000		-0.700000		-0.010718
0.159000		-0.700000		-0.010494
0.160000		-0.700000		-0.010276
0.161000		-0.700000		-0.010065
0.162000		-0.700000		-0.009861
0.163000		-0.700000		-0.009662
0.164000		-0.700000		-0.009469
0.165000		-0.700000		-0.009282
0.166000		-0.700000		-0.009100
0.167000		-0.700000		-0.008923
0.168000		-0.700000		-0.008751
0.169000		-0.700000		-0.008584
0.170000		-0.700000		-0.008421
0.171000		-0.700000		-0.008263
0.172000		-0.700000		-0.008109
0.173000		-0.700000		-0.007960
0.174000		-0.700000		-0.007814
0.175000		-0.700000		-0.007672
0.176000		-0.700000		-0.007534
0.177000		-0.700000		-0.007399
0.178000		-0.700000		-0.007268
0.179000		-0.700000		-0.007140
0.180000		-0.700000		-0.007015
0.181000		-0.700000		-0.006893
0.182000		-0.700000		-0.006775
0.183000		-0.700000		-0.006659
0.184000		-0.700000		-0.006546
0.185000		-0.700000		-0.006436
0.186000		-0.700000		-0.006329
0.187000		-0.700000		-0.006224
0.188000		-0.700000		-0.006121
0.189000		-0.700000		-0.006021
0.190000		-0.700000		-0.005923
0.191000		-0.700000		-0.005828
0.192000		-0.700000		-0.005735
0.193000		-0.700000		-0.005643
0.194000		-0.700000		-0.005554
0.195000		-0.700000		-0.005467
0.196000		-0.700000		-0.005382
0.197000		-0.700000		-0.005298
0.198000		-0.700000		-0.005216
0.199000		-0.700000		-0.005137
0.200000		-0.700000		-0.005058
0.100000		-0.680000		-0.069236
0.101000		-0.680000		-0.066529
0.102000		-0.680000		-0.063953
0.103000		-0.680000		-0.061501
0.104000		-0.680000		-0.059166
0.105000		-0.680000		-0.056942
0.106000		-0.680000		-0.054823
0.107000		-0.680000		-0.052802
0.108000		-0.680000		-0.050876
0.109000		-0.680000		-0.049038
0.110000		-0.680000		-0.047285
0.111000		-0.680000		-0.045612
0.112000		-0.680000		-0.044014
0.113000		-0.680000		-0.042488
0.114000		-0.680000		-0.041030
0.115000		-0.680000		-0.039637
0.116000		-0.680000		-0.038305
0.117000		-0.680000		-0.037031
0.118000		-0.680000		-0.035812
0.119000		-0.680000		-0.034646
0.120000		-0.680000		-0.033530
0.121000		-0.680000		-0.032461
0.122000		-0.680000		-0.031437
0.123000		-0.680000		-0.030455
0.124000		-0.680000		-0.029514
0.125000		-0.680000		-0.028612
0.126000		-0.680000		-0.027747
0.127000		-0.680000		-0.026917
0.128000		-0.680000		-0.026120
0.129000		-0.680000		-0.025355
0.130000		-0.680000		-0.024620
0.131000		-0.680000		-0.023914
0.132000		-0.680000		-0.023235
0.133000		-0.680000		-0.022583
0.134000		-0.680000		-0.021955
0.135000		-0.680000		-0.021351
0.136000		-0.680000		-0.020770
0.137000		-0.680000		-0.020211
0.138000		-0.680000		-0.019672
0.139000		-0.680000		-0.019153
0.140000		-0.680000		-0.018653
0.141000		-0.680000		-0.018171
0.142000		-0.680000		-0.017706
0.143000		-0.680000		-0.017258
0.144000		-0.680000		-0.016825
0.145000		-0.680000		-0.016408
0.146000		-0.680000		-0.016004
0.147000		-0.680000		-0.015615
0.148000		-0.680000		-0.015239
0.149000		-0.680000		-0.014875
0.150000		-0.680000		-0.014524
0.151000		-0.680000		-0.014184
0.152000		-0.680000		-0.013856
0.153000		-0.680000		-0.013538
0.154000		-0.680000		-0.013230
0.155000		-0.680000		-0.012932
0.156000		-0.680000		-0.012644
0.157000		-0.680000		-0.012364
0.158000		-0.680000		-0.012093
0.159000		-0.680000		-0.011831
0.160000		-0.680000		-0.011576
0.161000		-0.680000		-0.011330
0.162000		-0.680000		-0.011090
0.163000		-0.680000		-0.010858
0.164000		-0.680000		-0.010633
0.165000		-0.680000		-0.010414
0.166000		-0.680000		-0.010202
0.167000		-0.680000		-0.009995
0.168000		-0.680000		-0.009795
0.169000		-0.680000		-0.009600
0.170000		-0.680000		-0.009411
0.171000		-0.680000		-0.009226
0.172000		-0.680000		-0.009047
0.173000		-0.680000		-0.008873
0.174000		-0.680000		-0.008704
0.175000		-0.680000		-0.008539
0.176000		-0.680000		-0.008378
0.177000		-0.680000		-0.008222
0.178000		-0.680000		-0.008070
0.179000		-0.680000		-0.007922
0.180000		-0.680000		-0.007777
0.181000		-0.680000		-0.007636
0.182000		-0.680000		-0.007499
0.183000		-0.680000		-0.007365
0.184000		-0.680000		-0.007235
0.185000		-0.680000		-0.007108
0.186000		-0.680000		-0.006984
0.187000		-0.680000		-0.006863
0.188000		-0.680000		-0.006744
0.189000		-0.680000		-0.006629
0.190000		-0.680000		-0.006517
0.191000		-0.680000		-0.006407
0.192000		-0.680000		-0.006299
0.193000		-0.680000		-0.006194
0.194000		-0.680000		-0.006092
0.195000		-0.680000		-0.005992
0.196000		-0.680000		-0.005894
0.197000		-0.680000		-0.005798
0.198000		-0.680000		-0.005705
0.199000		-0.680000		-0.005613
0.200000		-0.680000		-0.005524
0.100000		-0.660000		-0.079668
0.101000		-0.660000		-0.076564
0.102000		-0.660000		-0.073606
0.103000		-0.660000		-0.070788
0.104000		-0.660000		-0.068101
0.105000		-0.660000		-0.065539
0.106000		-0.660000		-0.063096
0.107000		-0.660000		-0.060765
0.108000		-0.660000		-0.058540
0.109000		-0.660000		-0.056417
0.110000		-0.660000		-0.054390
0.111000		-0.660000		-0.052454
0.112000		-0.660000		-0.050604
0.113000		-0.660000		-0.048837
0.114000		-0.660000		-0.047147
0.115000		-0.660000		-0.045532
0.116000		-0.660000		-0.043987
0.117000		-0.660000		-0.042509
0.118000		-0.660000		-0.041094
0.119000		-0.660000		-0.039740
0.120000		-0.660000		-0.038443
0.121000		-0.660000		-0.037201
0.122000		-0.660000		-0.036010
0.123000		-0.660000		-0.034870
0.124000		-0.660000		-0.033776
0.125000		-0.660000		-0.032727
0.126000		-0.660000		-0.031721
0.127000		-0.660000		-0.030755
0.128000		-0.660000		-0.029828
0.129000		-0.660000		-0.028938
0.130000		-0.660000		-0.028083
0.131000		-0.660000		-0.027261
0.132000		-0.660000		-0.026472
0.133000		-0.660000		-0.025713
0.134000		-0.660000		-0.024983
0.135000		-0.660000		-0.024280
0.136000		-0.660000		-0.023605
0.137000		-0.660000		-0.022954
0.138000		-0.660000		-0.022328
0.139000		-0.660000		-0.021724
0.140000		-0.660000		-0.021143
0.141000		-0.660000		-0.020582
0.142000		-0.660000		-0.020042
0.143000		-0.660000		-0.019521
0.144000		-0.660000		-0.019019
0.145000		-0.660000		-0.018534
0.146000		-0.660000		-0.018065
0.147000		-0.660000		-0.017613
0.148000		-0.660000		-0.017177
0.149000		-0.660000		-0.016755
0.150000		-0.660000		-0.016347
0.151000		-0.660000		-0.015953
0.152000		-0.660000		-0.015572
0.153000		-0.660000		-0.015204
0.154000		-0.660000		-0.014847
0.155000		-0.660000		-0.014502
0.156000		-0.660000		-0.014168
0.157000		-0.660000		-0.013845
0.158000		-0.660000		-0.013532
0.159000		-0.660000		-0.013228
