101
81
T [GeV]		muB [GeV]		F_over_T [fm^-1 / GeV]
0.130000		-0.720000		-0.183312
0.131000		-0.720000		-0.182883
0.132000		-0.720000		-0.182474
0.133000		-0.720000		-0.182083
0.134000		-0.720000		-0.181711
0.135000		-0.720000		-0.181356
0.136000		-0.720000		-0.181019
0.137000		-0.720000		-0.180700
0.138000		-0.720000		-0.180398
0.139000		-0.720000		-0.180112
0.140000		-0.720000		-0.179843
0.141000		-0.720000		-0.179590
0.142000		-0.720000		-0.179353
0.143000		-0.720000		-0.179132
0.144000		-0.720000		-0.178925
0.145000		-0.720000		-0.178734
0.146000		-0.720000		-0.178557
0.147000		-0.720000		-0.178395
0.148000		-0.720000		-0.178246
0.149000		-0.720000		-0.178112
0.150000		-0.720000		-0.177990
0.151000		-0.720000		-0.177882
0.152000		-0.720000		-0.177786
0.153000		-0.720000		-0.177703
0.154000		-0.720000		-0.177632
0.155000		-0.720000		-0.177573
0.156000		-0.720000		-0.177525
0.157000		-0.720000		-0.177489
0.158000		-0.720000		-0.177464
0.159000		-0.720000		-0.177449
0.160000		-0.720000		-0.177445
0.161000		-0.720000		-0.177451
0.162000		-0.720000		-0.177467
0.163000		-0.720000		-0.177493
0.164000		-0.720000		-0.177528
0.165000		-0.720000		-0.177572
0.166000		-0.720000		-0.177625
0.167000		-0.720000		-0.177686
0.168000		-0.720000		-0.177756
0.169000		-0.720000		-0.177834
0.170000		-0.720000		-0.177920
0.171000		-0.720000		-0.178013
0.172000		-0.720000		-0.178114
0.173000		-0.720000		-0.178222
0.174000		-0.720000		-0.178337
0.175000		-0.720000		-0.178459
0.176000		-0.720000		-0.178587
0.177000		-0.720000		-0.178721
0.178000		-0.720000		-0.178861
0.179000		-0.720000		-0.179008
0.180000		-0.720000		-0.179159
0.181000		-0.720000		-0.179317
0.182000		-0.720000		-0.179479
0.183000		-0.720000		-0.179647
0.184000		-0.720000		-0.179819
0.185000		-0.720000		-0.179997
0.186000		-0.720000		-0.180178
0.187000		-0.720000		-0.180364
0.188000		-0.720000		-0.180555
0.189000		-0.720000		-0.180749
0.190000		-0.720000		-0.180947
0.191000		-0.720000		-0.181148
0.192000		-0.720000		-0.181354
0.193000		-0.720000		-0.181562
0.194000		-0.720000		-0.181774
0.195000		-0.720000		-0.181989
0.196000		-0.720000		-0.182206
0.197000		-0.720000		-0.182427
0.198000		-0.720000		-0.182650
0.199000		-0.720000		-0.182875
0.200000		-0.720000		-0.183103
0.100000		-0.700000		-0.205185
0.101000		-0.700000		-0.204121
0.102000		-0.700000		-0.203079
0.103000		-0.700000		-0.202057
0.104000		-0.700000		-0.201057
0.105000		-0.700000		-0.200079
0.106000		-0.700000		-0.199122
0.107000		-0.700000		-0.198187
0.108000		-0.700000		-0.197274
0.109000		-0.700000		-0.196383
0.110000		-0.700000		-0.195515
0.111000		-0.700000		-0.194668
0.112000		-0.700000		-0.193844
0.113000		-0.700000		-0.193042
0.114000		-0.700000		-0.192262
0.115000		-0.700000		-0.191504
0.116000		-0.700000		-0.190768
0.117000		-0.700000		-0.190054
0.118000		-0.700000		-0.189362
0.119000		-0.700000		-0.188691
0.120000		-0.700000		-0.188042
0.121000		-0.700000		-0.187414
0.122000		-0.700000		-0.186807
0.123000		-0.700000		-0.186222
0.124000		-0.700000		-0.185657
0.125000		-0.700000		-0.185112
0.126000		-0.700000		-0.184588
0.127000		-0.700000		-0.184084
0.128000		-0.700000		-0.183600
0.129000		-0.700000		-0.183135
0.130000		-0.700000		-0.182690
0.131000		-0.700000		-0.182263
0.132000		-0.700000		-0.181855
0.133000		-0.700000		-0.181466
0.134000		-0.700000		-0.181095
0.135000		-0.700000		-0.180742
0.136000		-0.700000		-0.180406
0.137000		-0.700000		-0.180087
0.138000		-0.700000		-0.179785
0.139000		-0.700000		-0.179500
0.140000		-0.700000		-0.179232
0.141000		-0.700000		-0.178979
0.142000		-0.700000		-0.178742
0.143000		-0.700000		-0.178520
0.144000		-0.700000		-0.178313
0.145000		-0.700000		-0.178121
0.146000		-0.700000		-0.177943
0.147000		-0.700000		-0.177780
0.148000		-0.700000		-0.177630
