101
81
T [GeV]		muB [GeV]		betabulk_over_T4 [fm^-4 / GeV^4]
0.119000		-0.660000		95.028866
0.120000		-0.660000		97.246339
0.121000		-0.660000		99.488689
0.122000		-0.660000		101.755810
0.123000		-0.660000		104.047589
0.124000		-0.660000		106.363909
0.125000		-0.660000		108.704649
0.126000		-0.660000		111.069682
0.127000		-0.660000		113.458876
0.128000		-0.660000		115.872095
0.129000		-0.660000		118.309198
0.130000		-0.660000		120.770040
0.131000		-0.660000		123.254470
0.132000		-0.660000		125.762333
0.133000		-0.660000		128.293470
0.134000		-0.660000		130.847718
0.135000		-0.660000		133.424906
0.136000		-0.660000		136.024863
0.137000		-0.660000		138.647411
0.138000		-0.660000		141.292369
0.139000		-0.660000		143.959550
0.140000		-0.660000		146.648765
0.141000		-0.660000		149.359819
0.142000		-0.660000		152.092514
0.143000		-0.660000		154.846647
0.144000		-0.660000		157.622011
0.145000		-0.660000		160.418396
0.146000		-0.660000		163.235588
0.147000		-0.660000		166.073368
0.148000		-0.660000		168.931515
0.149000		-0.660000		171.809802
0.150000		-0.660000		174.708002
0.151000		-0.660000		177.625881
0.152000		-0.660000		180.563203
0.153000		-0.660000		183.519729
0.154000		-0.660000		186.495217
0.155000		-0.660000		189.489422
0.156000		-0.660000		192.502094
0.157000		-0.660000		195.532983
0.158000		-0.660000		198.581835
0.159000		-0.660000		201.648392
0.160000		-0.660000		204.732396
0.161000		-0.660000		207.833586
0.162000		-0.660000		210.951696
0.163000		-0.660000		214.086461
0.164000		-0.660000		217.237613
0.165000		-0.660000		220.404882
0.166000		-0.660000		223.587996
0.167000		-0.660000		226.786681
0.168000		-0.660000		230.000661
0.169000		-0.660000		233.229661
0.170000		-0.660000		236.473402
0.171000		-0.660000		239.731605
0.172000		-0.660000		243.003990
0.173000		-0.660000		246.290275
0.174000		-0.660000		249.590178
0.175000		-0.660000		252.903417
0.176000		-0.660000		256.229707
0.177000		-0.660000		259.568766
0.178000		-0.660000		262.920308
